p_column,threshold,pfa,pd
p_0.01,0.9273289328782973,1.0,1.0
p_0.01,0.9273310749691404,1.0,1.0
p_0.01,0.9273332170599835,1.0,1.0
p_0.01,0.9273353591508265,1.0,1.0
p_0.01,0.9273375012416696,1.0,1.0
p_0.01,0.9273396433325127,1.0,1.0
p_0.01,0.9273417854233558,1.0,1.0
p_0.01,0.9273439275141988,1.0,1.0
p_0.01,0.9273460696050418,1.0,1.0
p_0.01,0.927348211695885,1.0,1.0
p_0.01,0.927350353786728,1.0,1.0
p_0.01,0.9273524958775711,1.0,1.0
p_0.01,0.9273546379684142,1.0,1.0
p_0.01,0.9273567800592573,1.0,1.0
p_0.01,0.9273589221501003,1.0,1.0
p_0.01,0.9273610642409434,1.0,1.0
p_0.01,0.9273632063317865,1.0,1.0
p_0.01,0.9273653484226295,1.0,1.0
p_0.01,0.9273674905134726,1.0,1.0
p_0.01,0.9273696326043157,1.0,1.0
p_0.01,0.9273717746951587,1.0,1.0
p_0.01,0.9273739167860018,1.0,1.0
p_0.01,0.9273760588768449,1.0,1.0
p_0.01,0.927378200967688,1.0,1.0
p_0.01,0.927380343058531,1.0,1.0
p_0.01,0.9273824851493742,1.0,1.0
p_0.01,0.9273846272402172,1.0,1.0
p_0.01,0.9273867693310602,1.0,1.0
p_0.01,0.9273889114219033,1.0,1.0
p_0.01,0.9273910535127464,1.0,1.0
p_0.01,0.9273931956035895,1.0,1.0
p_0.01,0.9273953376944325,1.0,1.0
p_0.01,0.9273974797852756,1.0,1.0
p_0.01,0.9273996218761187,1.0,1.0
p_0.01,0.9274017639669617,1.0,1.0
p_0.01,0.9274039060578049,1.0,1.0
p_0.01,0.9274060481486479,1.0,1.0
p_0.01,0.927408190239491,1.0,1.0
p_0.01,0.9274103323303341,1.0,1.0
p_0.01,0.9274124744211771,1.0,1.0
p_0.01,0.9274146165120202,1.0,1.0
p_0.01,0.9274167586028632,1.0,1.0
p_0.01,0.9274189006937064,1.0,1.0
p_0.01,0.9274210427845494,1.0,1.0
p_0.01,0.9274231848753924,1.0,1.0
p_0.01,0.9274253269662356,1.0,1.0
p_0.01,0.9274274690570786,1.0,1.0
p_0.01,0.9274296111479217,1.0,1.0
p_0.01,0.9274317532387648,1.0,1.0
p_0.01,0.9274338953296078,1.0,1.0
p_0.01,0.9274360374204509,1.0,1.0
p_0.01,0.9274381795112939,1.0,1.0
p_0.01,0.9274403216021371,1.0,1.0
p_0.01,0.9274424636929801,1.0,1.0
p_0.01,0.9274446057838232,1.0,1.0
p_0.01,0.9274467478746663,1.0,1.0
p_0.01,0.9274488899655093,1.0,1.0
p_0.01,0.9274510320563524,1.0,1.0
p_0.01,0.9274531741471955,1.0,1.0
p_0.01,0.9274553162380386,1.0,1.0
p_0.01,0.9274574583288816,1.0,1.0
p_0.01,0.9274596004197246,1.0,1.0
p_0.01,0.9274617425105678,1.0,1.0
p_0.01,0.9274638846014108,1.0,1.0
p_0.01,0.9274660266922539,1.0,1.0
p_0.01,0.927468168783097,1.0,1.0
p_0.01,0.92747031087394,1.0,1.0
p_0.01,0.9274724529647831,1.0,1.0
p_0.01,0.9274745950556262,1.0,1.0
p_0.01,0.9274767371464693,1.0,1.0
p_0.01,0.9274788792373123,1.0,1.0
p_0.01,0.9274810213281554,1.0,1.0
p_0.01,0.9274831634189985,1.0,1.0
p_0.01,0.9274853055098415,1.0,1.0
p_0.01,0.9274874476006846,1.0,1.0
p_0.01,0.9274895896915277,1.0,1.0
p_0.01,0.9274917317823708,1.0,1.0
p_0.01,0.9274938738732138,1.0,1.0
p_0.01,0.927496015964057,1.0,1.0
p_0.01,0.9274981580549,1.0,1.0
p_0.01,0.927500300145743,1.0,1.0
p_0.01,0.9275024422365861,1.0,1.0
p_0.01,0.9275045843274292,1.0,1.0
p_0.01,0.9275067264182723,1.0,1.0
p_0.01,0.9275088685091153,1.0,1.0
p_0.01,0.9275110105999584,1.0,1.0
p_0.01,0.9275131526908015,1.0,1.0
p_0.01,0.9275152947816445,1.0,1.0
p_0.01,0.9275174368724877,1.0,1.0
p_0.01,0.9275195789633307,1.0,1.0
p_0.01,0.9275217210541737,1.0,1.0
p_0.01,0.9275238631450168,1.0,1.0
p_0.01,0.9275260052358599,1.0,1.0
p_0.01,0.927528147326703,1.0,1.0
p_0.01,0.927530289417546,1.0,1.0
p_0.01,0.9275324315083892,1.0,1.0
p_0.01,0.9275345735992322,1.0,1.0
p_0.01,0.9275367156900752,1.0,1.0
p_0.01,0.9275388577809184,1.0,1.0
p_0.01,0.9275409998717614,1.0,1.0
p_0.01,0.9275431419626045,1.0,1.0
p_0.01,0.9275452840534475,1.0,1.0
p_0.01,0.9275474261442906,1.0,1.0
p_0.01,0.9275495682351337,1.0,1.0
p_0.01,0.9275517103259767,1.0,1.0
p_0.01,0.9275538524168199,1.0,1.0
p_0.01,0.9275559945076629,1.0,1.0
p_0.01,0.927558136598506,1.0,1.0
p_0.01,0.9275602786893491,1.0,1.0
p_0.01,0.9275624207801921,1.0,1.0
p_0.01,0.9275645628710352,1.0,1.0
p_0.01,0.9275667049618782,1.0,1.0
p_0.01,0.9275688470527214,1.0,1.0
p_0.01,0.9275709891435644,1.0,1.0
p_0.01,0.9275731312344074,1.0,1.0
p_0.01,0.9275752733252506,1.0,1.0
p_0.01,0.9275774154160936,1.0,1.0
p_0.01,0.9275795575069367,1.0,1.0
p_0.01,0.9275816995977798,1.0,1.0
p_0.01,0.9275838416886228,1.0,1.0
p_0.01,0.9275859837794659,1.0,1.0
p_0.01,0.9275881258703089,1.0,1.0
p_0.01,0.9275902679611521,1.0,1.0
p_0.01,0.9275924100519951,1.0,1.0
p_0.01,0.9275945521428381,1.0,1.0
p_0.01,0.9275966942336813,1.0,1.0
p_0.01,0.9275988363245243,1.0,1.0
p_0.01,0.9276009784153674,1.0,1.0
p_0.01,0.9276031205062105,1.0,1.0
p_0.01,0.9276052625970536,1.0,1.0
p_0.01,0.9276074046878966,1.0,1.0
